"URL","TYPE_PAGE","HUB","DISPLAY_NAME","CURRENT_SPECIES_COUNT","HERO_MEDIA","PHOTO_SOURCE","PHOTO_RIGHTS_STATUS","BOTANICAL_SCOPE","HUB_MEDIA_STATUS","PRIORITY"
"https://jungle.tibaldo.fr/plantes/strelitzia","HUB_GENRE_OR_GROUP","strelitzia","Strelitzia","5","HONEST_MEDIA_GAP","","NO_MEDIA","NO_MEDIA","HUB_PHOTO_MISSING","P2_PHOTO_REQUIRED"
"https://jungle.tibaldo.fr/plantes/agave","HUB_GENRE_OR_GROUP","agave","Agave","1","HONEST_MEDIA_GAP","","NO_MEDIA","NO_MEDIA","HUB_PHOTO_MISSING","P2_PHOTO_REQUIRED"
"https://jungle.tibaldo.fr/plantes/fatsia","HUB_GENRE_OR_GROUP","fatsia","Fatsia","1","HONEST_MEDIA_GAP","","NO_MEDIA","NO_MEDIA","HUB_PHOTO_MISSING","P2_PHOTO_REQUIRED"
"https://jungle.tibaldo.fr/plantes/bananiers","HUB_GENRE_OR_GROUP","bananiers","Bananiers","4","HONEST_MEDIA_GAP","","NO_MEDIA","NO_MEDIA","HUB_PHOTO_MISSING","P2_PHOTO_REQUIRED"
"https://jungle.tibaldo.fr/plantes/musa","HUB_GENRE_OR_GROUP","musa","Musa","3","HONEST_MEDIA_GAP","","NO_MEDIA","NO_MEDIA","HUB_PHOTO_MISSING","P2_PHOTO_REQUIRED"
"https://jungle.tibaldo.fr/plantes/ensete","HUB_GENRE_OR_GROUP","ensete","Ensete","1","HONEST_MEDIA_GAP","","NO_MEDIA","NO_MEDIA","HUB_PHOTO_MISSING","P2_PHOTO_REQUIRED"
"https://jungle.tibaldo.fr/plantes/alocasia","HUB_GENRE_OR_GROUP","alocasia","Alocasia","13","/media/alocasia-cuprea-feuillage.jpg","https://commons.wikimedia.org/wiki/File:Alocasia_cuprea_(portrait_orientation).jpg","RIGHTS_VERIFIED","REPRESENTATIVE_SPECIES_NOT_COMPLETE_GROUP","HUB_PHOTO_OK","P3_ENRICH_LATER"
"https://jungle.tibaldo.fr/plantes/anthurium","HUB_GENRE_OR_GROUP","anthurium","Anthurium","14","/media/anthurium-veitchii-king.jpg","https://commons.wikimedia.org/wiki/File:Anthurium_veitchii-King_Anthurium.jpg","RIGHTS_VERIFIED","REPRESENTATIVE_SPECIES_NOT_COMPLETE_GROUP","HUB_PHOTO_OK","P3_ENRICH_LATER"
"https://jungle.tibaldo.fr/plantes/monstera","HUB_GENRE_OR_GROUP","monstera","Monstera","12","/media/final-media-v35/monstera-deliciosa-jonathan-borba-pexels.webp","https://www.pexels.com/fr-fr/photo/feuilles-de-monstera-d-un-vert-luxuriant-a-la-texture-naturelle-37181425/","RIGHTS_VERIFIED","REPRESENTATIVE_SPECIES_NOT_COMPLETE_GROUP","HUB_PHOTO_OK","P3_ENRICH_LATER"
"https://jungle.tibaldo.fr/plantes/philodendron","HUB_GENRE_OR_GROUP","philodendron","Philodendron","8","/philodendron-billietiae-feuilles-ondulees.jpg","https://commons.wikimedia.org/wiki/File:Philodendron_billietiae_0zz.jpg","RIGHTS_VERIFIED","REPRESENTATIVE_SPECIES_NOT_COMPLETE_GROUP","HUB_PHOTO_OK","P3_ENRICH_LATER"
