"URL","TYPE_PAGE","FAMILLE","GENRE","ESPECE","CULTIVAR","PHOTO_HERO","PHOTO_CARTE","PHOTO_FEUILLE","PHOTO_HUB","PHOTO_SOURCE","PHOTO_RIGHTS_STATUS","PLACEHOLDER","PHOTO_SUSPECTE","MEDIA_CLASSIFICATION","MEDIA_STATUS","CONTENT_COMPLETE","LIENS_INTERNES","PRIORITE"
"https://jungle.tibaldo.fr/plantes/alocasia/imperial-red","SPECIES_OR_CULTIVAR","Araceae","Alocasia","Hybride horticole","Imperial Red","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","/media/alocasia-cuprea-feuillage.jpg","","NO_RENDERED_MEDIA","YES_HONEST_MEDIA_GAP","NO","PHOTO_PLACEHOLDER","GAP","YES","73","P1_MAJOR_GENUS_PHOTO"
"https://jungle.tibaldo.fr/plantes/anthurium/pallidiflorum","SPECIES_OR_CULTIVAR","Araceae","Anthurium","Anthurium pallidiflorum","","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","/media/anthurium-veitchii-king.jpg","","NO_RENDERED_MEDIA","YES_HONEST_MEDIA_GAP","NO","PHOTO_PLACEHOLDER","GAP","YES","73","P1_MAJOR_GENUS_PHOTO"
"https://jungle.tibaldo.fr/plantes/anthurium/veitchii","SPECIES_OR_CULTIVAR","Araceae","Anthurium","Anthurium veitchii","","/media/anthurium-veitchii-king.jpg","/media/anthurium-veitchii-king.jpg","HONEST_MEDIA_GAP","/media/anthurium-veitchii-king.jpg","https://commons.wikimedia.org/wiki/File:Anthurium_veitchii-King_Anthurium.jpg","RIGHTS_VERIFIED","NO","NO","PHOTO_OK","PARTIAL","YES","77","P2_ENRICH"
"https://jungle.tibaldo.fr/plantes/philodendron/billietiae","SPECIES_OR_CULTIVAR","Araceae","Philodendron","Philodendron billietiae","","/philodendron-billietiae-feuilles-ondulees.jpg","/philodendron-billietiae-feuilles-ondulees.jpg","/philodendron-billietiae-petioles-orange.jpg","/philodendron-billietiae-feuilles-ondulees.jpg","https://commons.wikimedia.org/wiki/File:Philodendron_billietiae_0zz.jpg | https://commons.wikimedia.org/wiki/File:Philodendron_billietiae_1zz.jpg | https://commons.wikimedia.org/wiki/File:Philodendron_billietiae_2zz.jpg","RIGHTS_VERIFIED","NO","NO","PHOTO_OK","COMPLETE","YES","74","P3_COMPLETE"
"https://jungle.tibaldo.fr/plantes/pilea/peperomioides","SPECIES_OR_CULTIVAR","Urticaceae","Pilea","Pilea peperomioides","","/pilea-peperomioides-plante.jpg","/pilea-peperomioides-plante.jpg","HONEST_MEDIA_GAP","/pilea-peperomioides-plante.jpg","https://commons.wikimedia.org/wiki/File:Pilea_peperomioides_Chinese_money_plant.jpg","RIGHTS_VERIFIED","NO","NO","PHOTO_OK","PARTIAL","YES","74","P2_ENRICH"
"https://jungle.tibaldo.fr/plantes/asparagus/plumosus","SPECIES_OR_CULTIVAR","Asparagaceae","Asparagus","Asparagus setaceus","","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","","NO_RENDERED_MEDIA","YES_HONEST_MEDIA_GAP","NO","PHOTO_PLACEHOLDER","GAP","YES","73","P2_PHOTO"
"https://jungle.tibaldo.fr/plantes/epipremnum/marble-queen","SPECIES_OR_CULTIVAR","Araceae","Epipremnum","Epipremnum aureum","Marble Queen","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","/epipremnum-aureum-pothos.jpg","","NO_RENDERED_MEDIA","YES_HONEST_MEDIA_GAP","NO","PHOTO_PLACEHOLDER","GAP","YES","73","P2_PHOTO"
"https://jungle.tibaldo.fr/plantes/epiphyllum/anguliger","SPECIES_OR_CULTIVAR","Cactaceae","Disocactus","Disocactus anguliger","","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","","NO_RENDERED_MEDIA","YES_HONEST_MEDIA_GAP","NO","PHOTO_PLACEHOLDER","GAP","REVIEW_REQUIRED","72","P2_PHOTO"
"https://jungle.tibaldo.fr/plantes/monstera/deliciosa","SPECIES_OR_CULTIVAR","Araceae","Monstera","Monstera deliciosa","","/media/final-media-v35/monstera-deliciosa-jonathan-borba-pexels.webp","/media/final-media-v35/monstera-deliciosa-jonathan-borba-pexels.webp","HONEST_MEDIA_GAP","/media/final-media-v35/monstera-deliciosa-jonathan-borba-pexels.webp","https://www.pexels.com/fr-fr/photo/feuilles-de-monstera-d-un-vert-luxuriant-a-la-texture-naturelle-37181425/","RIGHTS_VERIFIED","NO","NO","PHOTO_OK","PARTIAL","REVIEW_REQUIRED","73","P2_ENRICH"
"https://jungle.tibaldo.fr/plantes/monstera/thai-constellation","SPECIES_OR_CULTIVAR","Araceae","Monstera","Monstera deliciosa","Thai Constellation","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","HONEST_MEDIA_GAP","/media/final-media-v35/monstera-deliciosa-jonathan-borba-pexels.webp","","NO_RENDERED_MEDIA","YES_HONEST_MEDIA_GAP","NO","PHOTO_PLACEHOLDER","GAP","REVIEW_REQUIRED","75","P1_MAJOR_GENUS_PHOTO"
